layer,level,attackTeam,attackFaction,attackStartTickets,defendTeam,defendFaction,defendStartTickets
Al Basrah Invasion v1,Al Basrah,1,,200,2,,900
Al Basrah Invasion v2,Al Basrah,1,,200,2,,900
Al Basrah Invasion v3,Al Basrah,1,,200,2,,900
Al Basrah Invasion v4,Al Basrah,1,,200,2,,900
Al Basrah Invasion v5,Al Basrah,1,,200,2,,900
Al Basrah Invasion v6,Al Basrah,2,,200,1,,900
Al Basrah Invasion v7,Al Basrah,1,,200,2,,900
Al Basrah Invasion v8,Al Basrah,1,,200,2,,900
Anvil Invasion v1,Anvil,1,,200,2,,900
Anvil Invasion v2,Anvil,1,,200,2,,900
Belaya Invasion v1,Belaya Pass,1,,200,2,,900
Belaya Invasion v2,Belaya Pass,1,,200,2,,900
Belaya Invasion v3,Belaya Pass,1,,200,2,,900
Black Coast Invasion v1,Black Coast,1,,200,2,,900
Black Coast Invasion v2,Black Coast,1,,200,2,,900
Black Coast Invasion v3,Black Coast,1,,200,2,,900
Black Coast Invasion v4,Black Coast,1,,200,2,,900
Black Coast Invasion v5,Black Coast,2,,200,1,,900
Chora Invasion v1,Chora,1,,200,2,,900
Chora Invasion v2,Chora,1,,200,2,,900
Fallujah Invasion v1,Fallujah,1,,200,2,,900
Fallujah Invasion v2,Fallujah,2,,200,1,,900
Fallujah Invasion v3,Fallujah,1,,200,2,,900
Fallujah Invasion v4,Fallujah,1,,200,2,,900
Fallujah Invasion v5,Fallujah,1,,200,2,,900
Fallujah Invasion v6,Fallujah,1,,200,2,,900
Fool's Road Invasion v1,Fool's Road,1,,200,2,,900
Goose Bay Invasion v1,Goose Bay,2,,200,1,,900
Goose Bay Invasion v2,Goose Bay,1,,200,2,,900
Goose Bay Invasion v3,Goose Bay,2,,200,1,,900
Goose Bay Invasion v4,Goose Bay,1,,200,2,,900
Goose Bay Invasion v5,Goose Bay,2,,200,1,,900
Gorodok Invasion v1,Gorodok,1,,200,2,,900
Gorodok Invasion v2,Gorodok,1,,200,2,,900
Gorodok Invasion v3,Gorodok,1,,200,2,,900
Harju Invasion v1,Harju,1,,200,2,,900
Harju Invasion v2,Harju,1,,200,2,,900
Harju Invasion v3,Harju,1,,200,2,,900
Harju Invasion v4,Harju,2,,200,1,,900
Harju Invasion v5,Harju,2,,200,1,,900
Kamdesh Invasion v1,Kamdesh Highlands,1,,200,2,,900
Kamdesh Invasion v2,Kamdesh Highlands,1,,200,2,,900
Kamdesh Invasion v3,Kamdesh Highlands,1,,200,2,,900
Kamdesh Invasion v4,Kamdesh Highlands,1,,200,2,,900
Kamdesh Invasion v5,Kamdesh Highlands,1,,200,2,,900
Kamdesh Invasion v6,Kamdesh Highlands,1,,200,2,,900
Kamdesh Invasion v7,Kamdesh Highlands,1,,200,2,,900
Kohat Toi Invasion v1,Kohat Toi,1,,200,2,,900
Kohat Toi Invasion v2,Kohat Toi,1,,200,2,,900
Kohat Toi Invasion v3,Kohat Toi,1,,200,2,,900
Kohat Toi Invasion v4,Kohat Toi,2,,200,1,,900
Kokan Invasion v1,Kokan,1,,200,2,,900
Lashkar Invasion v1,Lashkar Valley,1,,200,2,,900
Lashkar Invasion v2,Lashkar Valley,1,,200,2,,900
Lashkar Invasion v3,Lashkar Valley,1,,200,2,,900
Lashkar Invasion v4,Lashkar Valley,1,,200,2,,900
Manicouagan Invasion v1,Manicouagan,2,,200,1,,900
Manicouagan Invasion v2,Manicouagan,1,,200,2,,900
Manicouagan Invasion v3,Manicouagan,1,,200,2,,900
Manicouagan Invasion v4,Manicouagan,1,,200,2,,900
Manicouagan Invasion v5,Manicouagan,1,,200,2,,900
Manicouagan Invasion v6,Manicouagan,1,,200,2,,900
Manicouagan Invasion v7,Manicouagan,1,,200,2,,900
Manicouagan Invasion v8,Manicouagan,2,,200,1,,900
Manicouagan Invasion v9,Manicouagan,1,,200,2,,900
Mestia Invasion v1,Mestia,1,,200,2,,900
Mestia Invasion v2,Mestia,1,,200,2,,900
Mutaha Invasion v1,Mutaha,1,,200,2,,900
Mutaha Invasion v2,Mutaha,1,,200,2,,900
Mutaha Invasion v3,Mutaha,1,,200,2,,900
Mutaha Invasion v4,Mutaha,1,,200,2,,900
Narva Invasion v1,Narva,2,,200,1,,900
Narva Invasion v2,Narva,1,,200,2,,900
Narva Invasion v3,Narva,2,,200,1,,900
Narva Invasion v4,Narva,1,,200,2,,900
Narva Invasion v5,Narva,1,,200,2,,900
Skorpo Invasion v1,Skorpo,1,,200,2,,900
Skorpo Invasion v2,Skorpo,1,,200,2,,900
Skorpo Invasion v3,Skorpo,1,,200,2,,900
Skorpo Invasion v4,Skorpo,1,,200,2,,900
Sumari Bala Invasion v1,Sumari Bala,1,,200,2,,900
Tallil Outskirts Invasion v1,Tallil Outskirts,1,,200,2,,900
Tallil Outskirts Invasion v2,Tallil Outskirts,1,,200,2,,900
Tallil Outskirts Invasion v3,Tallil Outskirts,1,,200,2,,900
Tallil Outskirts Invasion v4,Tallil Outskirts,1,,200,2,,900
Tallil Outskirts Invasion v5,Tallil Outskirts,1,,200,2,,900
Yehorivka Invasion v1,Yehorivka,1,,200,2,,900
Yehorivka Invasion v2,Yehorivka,2,,200,1,,900
Yehorivka Invasion v3,Yehorivka,1,,200,2,,900
