layer,level,attackTeam,attackFaction,attackStartTickets,defendTeam,defendFaction,defendStartTickets
Albasrah Invasion v1 SE,Al Basrah,1,,200,2,,900
AlbasrahInvasion v2 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v3 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v4 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v5 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v6 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v7 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v8 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v9 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v10 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v11 SE,Al Basrah,1,,200,2,,900
Albasrah Invasion v12 SE,Al Basrah,1,,200,2,,900
Black Coast Invasion v1 SE,Black Coast,1,,200,2,,900
Black Coast Invasion v2 SE,Black Coast,1,,200,2,,900
Black Coast Invasion v3 SE,Black Coast,1,,200,2,,900
Chora Invasion v1 SE,Chora,1,,200,2,,900
Chora Invasion v2 SE,Chora,1,,200,2,,900
Chora Invasion v3 SE,Chora,1,,200,2,,900
Chora Invasion v4 SE,Chora,1,,200,2,,900
Fallujah Invasion v1 SE,Fallujah,1,,200,2,,900
Fallujah Invasion v2 SE,Fallujah,1,,200,2,,900
Fallujah Invasion v3 SE,Fallujah,1,,200,2,,900
Fallujah Invasion v4 SE,Fallujah,1,,200,2,,900
Fallujah Invasion v5 SE,Fallujah,1,,200,2,,900
Fallujah Invasion v6 SE,Fallujah,1,,200,2,,900
Goose Bay Invasion v1 SE,Goose Bay,1,,200,2,,900
Goose Bay Invasion v2 SE,Goose Bay,1,,200,2,,900
Goose Bay Invasion v3 SE,Goose Bay,1,,200,2,,900
Goose Bay Invasion v4 SE,Goose Bay,1,,200,2,,900
Goose Bay Invasion v5 SE,Goose Bay,1,,200,2,,900
Goose Bay Invasion v6 SE,Goose Bay,1,,200,2,,900
Goose Bay Invasion v7 SE,Goose Bay,1,,200,2,,900
Gorodok Invasion v1 SE,Gorodok,1,,200,2,,900
Gorodok Invasion v2 SE,Gorodok,1,,200,2,,900
Gorodok Invasion v3 SE,Gorodok,1,,200,2,,900
Gorodok Invasion v4 SE,Gorodok,1,,200,2,,900
Gorodok Invasion v5 SE,Gorodok,1,,200,2,,900
Gorodok Invasion v6 SE,Gorodok,1,,200,2,,900
Harju Invasion v1 SE,Harju,1,,200,2,,900
Harju Invasion v2 SE,Harju,1,,200,2,,900
Harju Invasion v3 SE,Harju,1,,200,2,,900
Harju Invasion v4 SE,Harju,1,,200,2,,900
Kohat Invasion v1 SE,Kohat Toi,1,,200,2,,900
Kohat Invasion v2 SE,Kohat Toi,1,,200,2,,900
Kohat Invasion v3 SE,Kohat Toi,1,,200,2,,900
Kohat Invasion v4 SE,Kohat Toi,1,,200,2,,900
Kohat Invasion v5 SE,Kohat Toi,1,,200,2,,900
Kohat Invasion v6 SE,Kohat Toi,1,,200,2,,900
Kohat Flooded Inv. v1 SE,Kohat Toi,1,,200,2,,900
Kohat Flooded Inv. v2 SE,Kohat Toi,1,,200,2,,900
Kohat Flooded Inv. v3 SE,Kohat Toi,1,,200,2,,900
Kohat Flooded Inv. v4 SE,Kohat Toi,1,,200,2,,900
Kohat Flooded Inv. v5 SE,Kohat Toi,1,,200,2,,900
Kohat Flooded Inv. v6 SE,Kohat Toi,1,,200,2,,900
Lashkar Invasion v1 SE,Lashkar Valley,1,,200,2,,900
Lashkar Invasion v2 SE,Lashkar Valley,1,,200,2,,900
Lashkar Invasion v3 SE,Lashkar Valley,1,,200,2,,900
Logar Invasion V1 SE,Logar Valley,1,,200,2,,900
Logar Invasion V2 SE,Logar Valley,1,,200,2,,900
Manicouagan Invasion v1 SE,Manicouagan,1,,200,2,,900
Manicouagan Invasion v2 SE,Manicouagan,1,,200,2,,900
Manicouagan Invasion v3 SE,Manicouagan,1,,200,2,,900
Manicouagan Invasion v4 SE,Manicouagan,1,,200,2,,900
Manicouagan Invasion v5 SE,Manicouagan,1,,200,2,,900
Manicouagan Invasion v6 SE,Manicouagan,1,,200,2,,900
Manicouagan Invasion v7 SE,Manicouagan,1,,200,2,,900
Mestia Invasion v1 SE,Mestia,1,,200,2,,900
Mestia Invasion v2 SE,Mestia,1,,200,2,,900
Mestia Invasion v3 SE,Mestia,1,,200,2,,900
Mutaha Invasion v1 SE,Mutaha,1,,200,2,,900
Mutaha Invasion v2 SE,Mutaha,1,,200,2,,900
Mutaha Invasion v3 SE,Mutaha,1,,200,2,,900
Mutaha Invasion v4 SE,Mutaha,1,,200,2,,900
Mutaha Invasion v5 SE,Mutaha,1,,200,2,,900
Mutaha Invasion v6 SE,Mutaha,1,,200,2,,900
Narva Invasion v1 SE,Narva,1,,200,2,,900
Narva Invasion v2 SE,Narva,1,,200,2,,900
Narva Invasion v3 SE,Narva,1,,200,2,,900
Narva Invasion v4 SE,Narva,1,,200,2,,900
Skorpo Invasion v1 SE,Skorpo,1,,200,2,,900
Skorpo Invasion v2 SE,Skorpo,1,,200,2,,900
Skorpo Invasion v3 SE,Skorpo,1,,200,2,,900
Skorpo Invasion v4 SE,Skorpo,1,,200,2,,900
Sumari Invasion v1 SE,Sumari,1,,200,2,,900
Sumari Invasion v2 SE,Sumari,1,,200,2,,900
Sumari Invasion v3 SE,Sumari,1,,200,2,,900
Tallil Outskirts Invasion v1 SE,Tallil Outskirts,1,,200,2,,900
Tallil Outskirts Invasion v2 SE,Tallil Outskirts,1,,200,2,,900
Tallil Outskirts Invasion v3 SE,Tallil Outskirts,1,,200,2,,900
Tallil Outskirts Invasion v4 SE,Tallil Outskirts,1,,200,2,,900
Yehorivka Invasion v1 SE,Yehorivka,1,,200,2,,900
Yehorivka Invasion v2 SE,Yehorivka,1,,200,2,,900
Yehorivka Invasion v3 SE,Yehorivka,1,,200,2,,900
Yehorivka Invasion v4 SE,Yehorivka,1,,200,2,,900
Yehorivka Invasion v5 SE,Yehorivka,1,,200,2,,900
Yehorivka Invasion v6 SE,Yehorivka,1,,200,2,,900
